obs_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""415.8590""","=""400""","=""1.40e+06""",B,"=""11.54835442""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,5,,
"=""419.0713""","=""100""","=""2.80e+05""",B,"=""11.54835442""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,
"=""419.8317""","=""200""","=""2.57e+06""",B,"=""11.62359272""","=""14.57594878""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""420.0674""","=""400""","=""9.7e+05""",B+,"=""11.54835442""","=""14.49905364""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",5,7,,
"=""425.9362""","=""200""","=""3.98e+06""",B+,"=""11.82807116""","=""14.73811536""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""426.6286""","=""100""","=""3.1e+05""",C+,"=""11.62359272""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""427.2169""","=""150""","=""8.0e+05""",B,"=""11.62359272""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",3,3,,
"=""430.0101""","=""100""","=""3.77e+05""",B+,"=""11.62359272""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",3,5,,
"=""433.3561""","=""100""","=""5.7e+05""",B+,"=""11.82807116""","=""14.68829030""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""451.0733""","=""100""","=""1.18e+06""",B+,"=""11.82807116""","=""14.57594878""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
