obs_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""86.6800""","=""180""","=""3.13e+08""",C+,"=""0.00000000""","=""14.3036684""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""86.9754""","=""150""","=""3.50e+07""",C,"=""0.00000000""","=""14.2550856""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,
"=""87.6058""","=""180r""","=""2.70e+08""",C+,"=""0.00000000""","=""14.1525151""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""87.9947""","=""180r""","=""7.7e+07""",C,"=""0.00000000""","=""14.0899685""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,
"=""104.8220""","=""1000r""","=""5.32e+08""",AA,"=""0.00000000""","=""11.82807116""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",1,3,,
"=""106.6660""","=""500r""","=""1.320e+08""",A+,"=""0.00000000""","=""11.62359272""","=""3s2.3p6""","=""1S""","=""0""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",1,3,,
"=""395.0097""","=""35""","=""4.6e+05""",B,"=""11.54835442""","=""14.68711824""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",5,3,,
"=""404.5561""","=""50""","=""3.3e+05""",B,"=""11.62359272""","=""14.68829030""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""415.9762""","=""400""","=""1.40e+06""",B,"=""11.54835442""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",5,5,,
"=""416.5354""","=""50""","=""2.9e+05""",B,"=""11.54835442""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",5,3,,
"=""418.3063""","=""50""","=""5.6e+05""",B,"=""11.72316039""","=""14.68711824""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",1,3,,
"=""419.1894""","=""100""","=""2.80e+05""",B,"=""11.54835442""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,
"=""419.2210""","=""50""","=""5.4e+05""",C+,"=""11.72316039""","=""14.68065033""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",1,3,,
"=""419.9500""","=""200""","=""2.57e+06""",B,"=""11.62359272""","=""14.57594878""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""420.1858""","=""400""","=""9.7e+05""",B+,"=""11.54835442""","=""14.49905364""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",5,7,,
"=""426.0561""","=""200""","=""3.98e+06""",B+,"=""11.82807116""","=""14.73811536""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""426.7487""","=""100""","=""3.1e+05""",C+,"=""11.62359272""","=""14.52891349""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""427.3371""","=""150""","=""8.0e+05""",B,"=""11.62359272""","=""14.52491330""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",3,3,,
"=""430.1311""","=""100""","=""3.77e+05""",B+,"=""11.62359272""","=""14.50606764""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",3,5,,
"=""433.4779""","=""100""","=""5.7e+05""",B+,"=""11.82807116""","=""14.68829030""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,
"=""433.6557""","=""50""","=""3.9e+05""",C+,"=""11.82807116""","=""14.68711824""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",3,3,,
"=""451.1998""","=""100""","=""1.18e+06""",B+,"=""11.82807116""","=""14.57594878""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,
"=""560.8290""","=""35""","=""2.20e+06""",C,"=""12.90701530""","=""15.11774638""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",3,3,,
"=""591.3723""","=""50""","=""1.05e+06""",C,"=""12.90701530""","=""15.00356588""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,3,,
"=""603.3797""","=""70""","=""2.46e+06""",C,"=""13.07571571""","=""15.13054437""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",7,9,,
"=""604.4896""","=""35""","=""1.47e+06""",C,"=""13.09487256""","=""15.14592830""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",5,7,,
"=""641.8081""","=""70""","=""1.16e+06""",C,"=""12.90701530""","=""14.83881100""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",3,5,,
