n,designation,excitation_energy,g,qn_n,qn_l,qn_K,qn_J,qn_core
1,3p6,0.0000,1.0,3,1,all,0,3/2
2,4s[3/2]2,11.5480,5.0,4,0,3/2,2,3/2
3,4s[3/2]1,11.6240,3.0,4,0,3/2,1,3/2
4,4s'[1/2]0,11.7230,1.0,4,0,1/2,0,1/2
5,4s'[1/2]1,11.8280,3.0,4,0,1/2,1,1/2
6,4p[1/2]1,12.9070,3.0,4,1,1/2,1,3/2
7,"4p[3/2]1,2, [5/2]2,3",13.1160,20.0,4 / 4 / 4 / 4,1 / 1 / 1 / 1,3/2 / 3/2 / 5/2 / 5/2,1 / 2 / 2 / 3,3/2 / 3/2 / 3/2 / 3/2
8,"4p'[3/2]1,2",13.2950,8.0,4 / 4,1 / 1,3/2 / 3/2,1 / 2,1/2 / 1/2
9,4p'[1/2]1,13.3280,3.0,4,1,1/2,1,1/2
10,4p[1/2]0,13.2730,1.0,4,1,1/2,0,3/2
11,4p'[1/2]0,13.4800,1.0,4,1,1/2,0,1/2
12,"3d[1/2]0,1, [3/2]2",13.8840,9.0,3 / 3 / 3,2 / 2 / 2,1/2 / 1/2 / 3/2,0 / 1 / 2,3/2 / 3/2 / 3/2
13,"3d[7/2]3,4",13.9940,16.0,3 / 3,2 / 2,7/2 / 7/2,3 / 4,3/2 / 3/2
14,"3d'[3/2]2, [5/2]2,3",14.2290,17.0,3 / 3 / 3,2 / 2 / 2,3/2 / 5/2 / 5/2,2 / 2 / 3,1/2 / 1/2 / 1/2
15,5s',14.2520,4.0,5,0,all,all,1/2
16,"3d[3/2]1, [5/2]2,3 + 5s",14.0900,23.0,3 / 3 / 3 / 5,2 / 2 / 2 / 0,3/2 / 5/2 / 5/2 / all,1 / 2 / 3 / all,3/2 / 3/2 / 3/2 / 3/2
17,3d'[3/2]1,14.3040,3.0,3,2,3/2,1,1/2
18,5p,14.5090,24.0,5,1,all,all,3/2
19,5p',14.6900,12.0,5,1,all,all,1/2
20,4d + 6s,14.7920,48.0,4 / 6,2 / 0,all,all,3/2 / 3/2
21,4d' + 6s',14.9760,24.0,4 / 6,2 / 0,all,all,1/2 / 1/2
22,4f',15.0830,28.0,4,3,all,all,1/2
23,4f,14.9060,56.0,4,3,all,all,3/2
24,6p',15.2050,12.0,6,1,all,all,1/2
25,6p,15.0280,24.0,6,1,all,all,3/2
26,5d' + 7s',15.3240,24.0,5 / 7,2 / 0,all,all,1/2 / 1/2
